timestamp,open,high,low,close,volume
2020-02-18,57.0700,58.0367,56.6200,57.7500,21504702
2020-02-14,60.1600,60.5600,58.2600,58.5000,20920168
2020-02-13,59.0050,60.6250,58.8600,59.3300,23679687
2020-02-12,59.0400,61.1900,58.9000,59.2700,47180808
2020-02-11,57.8800,58.8400,56.3300,57.2500,26776853
2020-02-10,56.3000,57.3400,56.2000,57.3300,15929036
2020-02-07,57.9700,58.0000,56.7700,56.8800,20891081
2020-02-06,58.0800,59.1700,57.4100,58.6800,23358721
2020-02-05,57.0200,57.2600,55.8200,56.7700,19795257
2020-02-04,55.2900,56.0200,54.9400,55.5000,19998615
2020-02-03,53.2535,54.1100,53.0000,53.7800,20481023
2020-01-31,55.1500,55.2000,52.7000,53.0900,28550849
2020-01-30,54.1800,55.0700,53.2200,55.0300,30783775
2020-01-29,55.9900,57.1900,55.2920,55.3000,19306749
2020-01-28,56.2500,56.7800,55.2400,56.4700,18544882
2020-01-27,55.1500,55.9900,54.6200,55.4100,27310073
2020-01-24,60.0000,60.0200,57.2400,57.7600,28555345
2020-01-23,60.3300,60.5600,59.0300,59.2000,26146124
2020-01-22,59.5150,60.2500,58.8500,59.1700,22604370
2020-01-21,57.3700,59.1800,57.2700,58.9700,24067662
2020-01-17,58.0200,58.1200,57.0100,57.6600,20549195
2020-01-16,56.8000,57.8400,56.7600,57.6800,22732675
2020-01-15,57.0300,57.1200,55.8400,56.1700,21638614
2020-01-14,57.8000,58.2950,56.4600,57.5200,26550790
2020-01-13,57.0100,57.7800,56.8600,57.4500,16059493
2020-01-10,57.4700,57.5000,56.2734,56.6700,19148555
2020-01-09,58.3200,58.4800,56.4800,57.3100,22405701
2020-01-08,58.0900,58.3900,57.0600,57.5200,29755395
2020-01-07,55.3800,58.4000,55.3600,58.2700,50303181
2020-01-06,53.7500,54.1400,53.1640,53.5650,18791489
2020-01-03,54.1600,55.3050,54.0000,54.5300,16826595
2020-01-02,54.8500,55.4900,54.5100,55.3900,20184045
2019-12-31,52.9100,53.9000,52.7800,53.7800,13299917
2019-12-30,53.7700,53.8800,52.6600,53.2100,15279481
2019-12-27,55.2400,55.5300,53.8850,54.0300,17188667
2019-12-26,55.4500,55.6500,54.9147,55.1050,13550984
2019-12-24,55.4500,55.6400,55.0350,55.4200,8621852
2019-12-23,55.2200,56.1100,55.1400,55.4000,23715219
2019-12-20,54.9000,55.9300,54.6343,55.0600,44372256
2019-12-19,55.0100,55.2900,53.9000,54.5300,56296823
2019-12-18,53.0000,53.7200,52.3700,53.0400,39580515
2019-12-17,53.9900,54.0000,52.6500,53.0000,28375948
2019-12-16,52.7600,54.3000,52.6920,52.9400,38712776
2019-12-13,51.0200,52.3200,50.7000,51.2000,30050047
2019-12-12,49.3600,51.3300,49.3200,50.9700,36682623
2019-12-11,47.7500,49.3400,47.6900,49.2600,22112203
2019-12-10,47.0400,47.9200,46.7200,47.4600,19283615
2019-12-09,47.5650,47.7700,46.4300,46.4500,16566735
2019-12-06,47.4400,48.3300,47.3200,47.9300,20485169
2019-12-05,46.7100,47.4000,46.2500,46.6200,13016024
2019-12-04,46.1800,46.6000,45.7300,46.3000,16930406
2019-12-03,45.1200,45.4000,44.5500,45.2300,20857141
2019-12-02,47.5700,47.9500,46.3450,46.3900,16094841
2019-11-29,47.9400,47.9500,47.4400,47.5100,7343564
2019-11-27,47.3500,48.2650,47.1100,48.1600,15441179
2019-11-26,47.6500,47.6700,46.5400,46.7150,12919896
2019-11-25,46.1000,47.5500,45.9400,47.5200,18828567
