timestamp,open,high,low,close,volume
2020-02-14,1.1800,1.2000,1.1300,1.1700,2080973
2020-02-13,1.1900,1.2301,1.1100,1.1800,2150845
2020-02-12,1.2300,1.3500,1.1600,1.1900,3674501
2020-02-11,1.0400,1.2400,1.0400,1.2000,3413293
2020-02-10,1.1000,1.1200,0.7900,1.0200,18008069
2020-02-07,1.2700,1.2700,1.0400,1.0755,13624155
2020-02-06,1.5700,1.5700,1.2700,1.3100,9436232
2020-02-05,1.5100,1.6500,1.4700,1.4800,6309061
2020-02-04,1.5300,1.5300,1.3700,1.4800,4377103
2020-02-03,1.5000,1.5400,1.4400,1.5150,5004283
2020-01-31,1.4900,1.5100,1.3900,1.4900,7587050
2020-01-30,1.3500,1.5400,1.2400,1.2400,8417416
2020-01-29,1.2300,1.3500,1.2200,1.3400,4224789
2020-01-28,1.1800,1.2500,1.1600,1.2000,4468828
2020-01-27,1.1000,1.1500,1.0900,1.1450,2812812
2020-01-24,1.0900,1.1200,1.0600,1.0850,2550938
2020-01-23,1.0900,1.1300,1.0500,1.0800,2755936
2020-01-22,1.1000,1.1300,1.0400,1.0900,3075913
2020-01-21,1.0600,1.0800,1.0100,1.0600,1560685
2020-01-17,1.0800,1.0900,1.0100,1.0500,1859010
2020-01-16,1.0600,1.0900,1.0300,1.0300,941154
2020-01-15,1.1100,1.1100,0.9800,1.0100,1954590
2020-01-14,1.1100,1.1200,1.0000,1.1100,3383031
2020-01-13,1.0400,1.1700,1.0300,1.1100,5461070
2020-01-10,0.9340,0.9898,0.8550,0.9800,2061227
2020-01-09,0.8590,0.9050,0.8150,0.8800,2416903
2020-01-08,0.8604,0.9300,0.7700,0.8500,4004954
2020-01-07,0.9900,1.0200,0.8920,0.9250,2850466
2020-01-06,0.9750,1.0300,0.9710,0.9845,1784625
2020-01-03,0.9890,1.0000,0.8900,0.9650,1576869
2020-01-02,1.0000,1.1000,0.8300,0.9700,4843604
2019-12-31,1.0043,1.0600,0.9430,1.0000,3295581
2019-12-30,1.0000,1.1800,0.8700,0.9301,7847548
2019-12-27,0.8320,1.0500,0.8200,0.9750,8268858
2019-12-26,0.6398,0.7850,0.6200,0.7780,4641530
2019-12-24,0.6100,0.6550,0.5800,0.6401,1772634
2019-12-23,0.6210,0.6720,0.5800,0.6100,4179028
2019-12-20,0.6537,0.6580,0.5000,0.5800,5232930
2019-12-19,0.6649,0.7350,0.4290,0.6320,9052674
2019-12-18,0.3450,0.4480,0.3450,0.4200,3501533
2019-12-17,0.2920,0.3100,0.2900,0.3030,443698
2019-12-16,0.3050,0.3090,0.2900,0.2920,647687
2019-12-13,0.3020,0.3050,0.2690,0.3050,556092
2019-12-12,0.3000,0.3000,0.2788,0.2800,599156
2019-12-11,0.2910,0.3040,0.2900,0.2920,362437
2019-12-10,0.3000,0.3199,0.2880,0.2910,822083
2019-12-09,0.3050,0.3050,0.2910,0.2910,360131
2019-12-06,0.2930,0.2999,0.2900,0.2940,630623
2019-12-05,0.3000,0.3049,0.2850,0.2860,662507
2019-12-04,0.2940,0.2940,0.2810,0.2901,358581
2019-12-03,0.2870,0.2999,0.2610,0.2930,996187
2019-12-02,0.2949,0.2949,0.2790,0.2791,1510859
2019-11-29,0.2800,0.2900,0.2701,0.2810,1047194
2019-11-27,0.3000,0.3000,0.2870,0.2910,1356991
2019-11-26,0.3029,0.3130,0.2900,0.2900,694437
2019-11-25,0.3140,0.3140,0.2975,0.3020,614841
2019-11-22,0.3150,0.3200,0.3010,0.3100,1363698
2019-11-21,0.3101,0.3150,0.3010,0.3020,725393
2019-11-20,0.3350,0.3350,0.3010,0.3100,1176730
2019-11-19,0.3320,0.3400,0.3010,0.3300,2112083
2019-11-18,0.3350,0.3424,0.3256,0.3300,1403401
2019-11-15,0.3450,0.3550,0.3230,0.3350,1730437
2019-11-14,0.3200,0.3650,0.3200,0.3370,4060873
2019-11-13,0.3193,0.3193,0.2975,0.3000,1374973
2019-11-12,0.3250,0.3400,0.3075,0.3150,1779390
2019-11-11,0.3200,0.3200,0.3001,0.3002,1141546
2019-11-08,0.3075,0.3200,0.3012,0.3150,628845
2019-11-07,0.3050,0.3240,0.3000,0.3183,906303
2019-11-06,0.3188,0.3188,0.3000,0.3080,1229579
2019-11-05,0.3200,0.3200,0.3010,0.3145,272791
2019-11-04,0.3100,0.3335,0.3100,0.3200,932398
2019-11-01,0.2990,0.3150,0.2990,0.3098,327599
2019-10-31,0.2950,0.3100,0.2950,0.3040,385795
2019-10-30,0.3025,0.3200,0.2950,0.2975,325474
2019-10-29,0.3000,0.3150,0.2900,0.3015,1452323
2019-10-28,0.3260,0.3350,0.2700,0.2970,1487243
2019-10-25,0.3400,0.3750,0.3200,0.3200,1503063
2019-10-24,0.3350,0.3350,0.3163,0.3220,372793
2019-10-23,0.3100,0.3250,0.3100,0.3200,240512
2019-10-22,0.3000,0.3250,0.2950,0.3150,620608
2019-10-21,0.3100,0.3100,0.2750,0.2930,457891
2019-10-18,0.3240,0.3240,0.2630,0.3100,2244493
2019-10-17,0.3201,0.3349,0.3112,0.3193,804799
